Title,Source,Posted,Link,Description
Eaton Fire's containment rises to 73% as more residents return home,KABC 7 Los Angeles,10 hours ago · ,https://abc7.com/post/eaton-fires-containment-rises-73-more-residents-return-home/15814227/,"The Eaton Fire was 73% contained Saturday, up overnight from 65%, with firefighters continuing to... "
Los Angeles couple's harrowing escape as Eaton Fire approached their home caught...,Fox News,5 days ago · ,https://www.foxnews.com/us/los-angeles-couples-harrowing-escape-eaton-fire-approached-home-caught-video-doorbell,Altadena residents Jeffrey and Cheryll Ku shared harrowing footage of their Jan. 7 escape from their... 
Trump expected to survey Los Angeles-area wildfire damage next week,LA Times ·  via AOL,13 hours ago · ,https://www.aol.com/news/trump-expected-survey-los-angeles-224129929.html,"President-elect Donald Trump, in perhaps his first official trip after being inaugurated Monday,... "
"How contained are the Los Angeles fires, including the Palisades fire?",CBS News ·  via Yahoo News,5 days ago · ,https://www.yahoo.com/news/contained-los-angeles-fires-including-175417686.html?fr=sycsrp_catchall,"The Hurst fire broke out in the Sylmar neighborhood of Los Angeles the night of Jan. 7, while other... "
Los Angeles wildfires: Armed homeowners patrol for looters inside evacuation...,Fox News ·  via Yahoo News,3 days ago · ,https://www.yahoo.com/news/los-angeles-wildfires-armed-homeowners-163501951.html?fr=sycsrp_catchall,Defiant and armed Los Angeles homeowners in the scorched Altadena community have taken to the... 
Los Angeles County Sheriff Seeks Public's Help Locating At-Risk Missing...,Sierra Sun Times,20 hours ago · ,https://www.goldrushcam.com/sierrasuntimes/index.php/news/california/63826-los-angeles-county-sheriff-seeks-public-s-help-locating-at-risk-missing-77-year-old-delores-ann-jenkins-last-seen-in-altadena,Los Angeles County Sheriff’s Department officials report that the Missing Persons Unit is asking for... 
Palisades and Eaton fire containment continues as dangerous weather may loom,The Desert Sun ·  via Yahoo News,1 day ago · ,https://www.yahoo.com/news/palisades-eaton-fire-containment-continues-000641951.html?fr=sycsrp_catchall,"Many aren't real Weekend weather forecast could help firefighters, but dangers remain While fire... "
Lil' Kim Addresses Backlash After She Called for a 'Monsoon' to Combat Los...,People ·  via AOL,2 days ago · ,https://www.aol.com/lil-kim-addresses-backlash-she-162527275.html,"On Tuesday, Jan. 14, the rapper posted on X her prayers for those affected by the devastating fires... "
Containment of Los Angeles-area Eaton and Palisades fires increases as weather...,CBS News,3 days ago · ,https://www.cbsnews.com/losangeles/news/containment-of-los-angeles-area-eaton-and-palisades-fires-increases-as-weather-conditions-improve/,"Firefighters continue to contain and suppress both of the Los Angeles area fires Thursday, as winds... "
Los Angeles Tree Advocates Hope Their Vital Work Recovers From Devastating Fires,US News & World Report,7 days ago · ,https://www.usnews.com/news/us/articles/2025-01-12/los-angeles-tree-advocates-wait-and-hope-that-fire-damage-wont-be-too-severe,"Some people across Los Angeles have worked for years to increase the number of trees that give respite from heat and air pollution. The tree advocates have confronted increasing drought, bad ... "
Los Angeles County Sheriff Seeks Public's Help Locating At-Risk Missing...,Sierra Sun Times,20 hours ago · ,https://www.goldrushcam.com/sierrasuntimes/index.php/news/california/63825-los-angeles-county-sheriff-seeks-public-s-help-locating-at-risk-missing-81-year-old-charles-ross-last-seen-in-altadena,Los Angeles County Sheriff’s Department officials report that the Missing Persons Unit is asking for... 
Navajo Nation firefighters battle wildfires in Los Angeles,WDTN-TV 2 Dayton,1 day ago · ,https://www.wdtn.com/news/u-s-world/ap-us-news/ap-navajo-nation-firefighters-battle-wildfires-in-los-angeles/,LOS ANGELES (AP) — Firefighters from the Navajo Nation worked tirelessly through a haze of dust to... 
Los Angeles evacuees told to stay away from home at least another week By...,Investing.com,3 days ago · ,https://www.investing.com/news/world-news/weather-conditions-in-los-angeles-improve-giving-firefighters-respite-3816788,"Landslides further endangered the devastated hillsides, where leveled structures no longer hold... "
A ‘Particularly Dangerous Situation’ is forecast for fire-scarred Los Angeles...,WMBD - FOX 43 Peoria,4 days ago · ,https://www.centralillinoisproud.com/news/national/ap-firefighters-prepare-for-increasing-gusts-following-brief-reprieve-for-la-area/,LOS ANGELES (AP) — Millions of Southern Californians were on edge as a final round of dangerous fire... 
Los Angeles evacuees told to stay away from home at least another week,Reuters,3 days ago · ,https://www.reuters.com/world/us/weather-conditions-los-angeles-improve-giving-firefighters-respite-2025-01-16/,"Landslides further endangered the devastated hillsides, where leveled structures no longer hold... "
Los Angeles tree advocates hope their vital work recovers from devastating fires,Associated Press,7 days ago · ,https://apnews.com/article/trees-california-fires-03313d49c69d4768164f7f87a540edc6,"Some people across Los Angeles have worked for years to increase the number of trees that give respite from heat and air pollution. The tree advocates have confronted increasing drought, bad ... "
A ‘Particularly Dangerous Situation’ is forecast for fire-scarred Los Angeles...,WRIC 8 News Richmond,4 days ago · ,https://www.wric.com/news/u-s-world/ap-firefighters-prepare-for-increasing-gusts-following-brief-reprieve-for-la-area/,LOS ANGELES (AP) — Millions of Southern Californians were on edge as a final round of dangerous fire... 
LA Dodgers Star Shohei Ohtani Announces Donation to Firefighters & More Amid Los...,Just Jared,2 days ago · ,https://www.justjared.com/2025/01/17/la-dodgers-star-shohei-ohtani-announces-donation-to-firefighters-more-amid-los-angeles-fires/,Shohei Ohtani has announced a monetary contribution to those on the frontlines amid the Los Angeles... 
All 12 Los Angeles-area professional sports teams donate $8 million to fire...,Yahoo Sports ·  via AOL,6 days ago · ,https://www.aol.com/12-los-angeles-area-professional-210643787.html,"The money will be spread out among several organizations, including the American Red Cross, the Los... "
Fire-scarred LA area faces new gusts,China Daily,4 days ago · ,https://global.chinadaily.com.cn/a/202501/15/WS67870b55a310f1265a1dae1d.html,"As the fire-ravaged Los Angeles area braced for intense winds on Tuesday, criticism has mounted over the state of California's preparedness and response, while residents and volunteers have ... "
